,City Name,City ID,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind speed,Country,Date
72,bredasdorp,1015776,-34.5322,20.0403,295.15,68,75,5.1,ZA,01/07/2021
73,hilo,5855927,19.7297,-155.09,294.15,83,1,2.1,US,01/07/2021
74,airai,1651810,-8.9266,125.4092,294.69,96,86,0.75,TL,01/07/2021
75,ushuaia,3833367,-54.8,-68.3,283.15,76,75,10.8,AR,01/07/2021
76,kattivakkam,1267433,13.2167,80.3167,301.15,83,75,3.1,IN,01/07/2021
77,paamiut,3421193,61.994,-49.6678,271.83,87,100,2.82,GL,01/07/2021
78,kodiak,5866583,57.79,-152.4072,276.15,80,20,7.2,US,01/07/2021
79,hamilton,4513583,39.1834,-84.5333,275.37,74,90,1.5,US,01/07/2021
80,avarua,4035715,-21.2078,-159.775,300.15,83,3,3.1,CK,01/07/2021
81,amurzet,2027740,47.6967,131.0981,249.69,77,96,4.78,RU,01/07/2021
82,rio grande,3451138,-32.035,-52.0986,295.93,94,47,5.34,BR,01/07/2021
83,poum,2138555,-20.2333,164.0167,301.59,80,95,6.37,NC,01/07/2021
84,zhob,1162105,31.3411,69.4481,280.47,47,0,1.13,PK,01/07/2021
85,esperance,2071860,-33.8667,121.9,304.15,16,0,4.6,AU,01/07/2021
86,vengerovo,1487615,55.6848,76.7471,248.88,86,51,4.11,RU,01/07/2021
87,hithadhoo,1282256,-0.6,73.0833,301.51,80,93,8.24,MV,01/07/2021
88,fairbanks,5861897,64.8378,-147.7164,260.37,76,75,1.0,US,01/07/2021
89,broome,5110365,42.2506,-75.833,272.04,79,90,6.2,US,01/07/2021
90,loiza,4566022,18.4313,-65.8802,296.15,88,1,2.48,PR,01/07/2021
91,chanute,4269392,37.6792,-95.4572,277.15,93,90,4.6,US,01/07/2021
92,clyde river,5924351,70.4692,-68.5914,243.15,74,1,3.1,CA,01/07/2021
93,guapo,3461943,-16.8306,-49.5319,296.15,83,40,1.0,BR,01/07/2021
94,nikolskoye,546105,59.7035,30.7861,270.15,86,75,6.0,RU,01/07/2021
95,chokurdakh,2126123,70.6333,147.9167,246.36,89,99,4.72,RU,01/07/2021
